"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer_Part_Number"
"C1,C35","2","1n","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-0402","https://www.we-online.com/catalog/datasheet/885012205061.pdf?ki","885012205061"
"C2,C3,C6,C38,C40","5","1u","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-1206_H1.6","https://www.we-online.com/catalog/datasheet/885012208093.pdf?ki","885012208093"
"C4","1","10n","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-0402","https://www.we-online.com/catalog/datasheet/885012205067.pdf?ki","885012205067"
"C5,C7,C17,C18,C20,C30,C33,C37,C41,C44","10","100n","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-0402","https://www.we-online.com/catalog/datasheet/885012205086.pdf?ki","885012205086"
"C8,C13,C14,C15,C16,C21,C22,C23,C24,C25,C27,C28,C29,C31,C32,C36,C42,C43","18","10u","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-1206_H1.6","https://www.we-online.com/catalog/datasheet/885012208069.pdf?ki","885012208069"
"C9,C10","2","330p","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-0402","https://www.we-online.com/catalog/datasheet/885012005016.pdf?ki","885012005016"
"C11,C39","2","4n7","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-0402","https://www.we-online.com/catalog/datasheet/885012205065.pdf?ki","885012205065"
"C12,C19","2","47n","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-0402","https://www.we-online.com/catalog/datasheet/885012205054.pdf?ki","885012205054"
"C26","1","4u7","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-1206_H1.6","https://www.we-online.com/catalog/datasheet/885012208068.pdf?ki","885012208068"
"C34","1","47n","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-0603_R","https://www.we-online.com/catalog/datasheet/885012206093.pdf?ki","885012206093"
"C45,C46","2","22u","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-1206_H1.6","https://www.we-online.com/catalog/datasheet/885012108018.pdf?ki","885012108018"
"C47","1","56p","","","","00_PowerBank_FTP:C_Wurth_WCAP-CSGP-0402","http://www.vishay.com/docs/45226/vj31xrohsautomlcc.pdf","VJ0402A560JXAAC"
"D1","1","40V","","","","00_PowerBank_FTP:SODFL1608X65N","https://www.diodes.com//assets/Datasheets/ZLLS350.pdf","ZLLS350TA"
"D2,D4","2","TPD4E05U06DQAR","","","","00_PowerBank_FTP:DQA_R-PUSON-N10_","http://www.ti.com/lit/gpn/tpd4e05u06","TPD4E05U06DQAR"
"D3","1","Green","","","","00_PowerBank_FTP:D_Wurth_WL-SMCW-0603","https://www.we-online.com/catalog/datasheet/150060VS75000.pdf?ki","150060VS75000"
"J1,J3","2","USB_C_Receptacle_USB2.0_16P_Wuerth_Lorenzo","","","","00_PowerBank_FTP:629722000214","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","629722000214"
"J2","1","64900311122","","","","00_PowerBank_FTP:J_Wurth_WR-MPC4_64900311122","https://www.we-online.com/en/components/products/datasheet/64900311122?ki","64900311122"
"J4","1","Conn_02x03_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","",""
"J5","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"L1","1","2.2 uH","","","","00_PowerBank_FTP:L_Wurth_WE-LHMI-7030","https://www.we-online.com/catalog/datasheet/74437346022.pdf?ki","74437346022"
"L2","1","10.0 uH","","","","00_PowerBank_FTP:L_Wurth_WE-LHMI-7050","https://www.we-online.com/catalog/datasheet/74437349100.pdf?ki","74437349100"
"Q1,Q2","2","CSD17581Q3A","","","","00_PowerBank_FTP:CSD17581Q3A_LorenzonF","https://www.ti.com/lit/ds/symlink/csd17581q3a.pdf","CSD17581Q3A"
"R1","1","2","","","","00_PowerBank_FTP:R_Wurth_WRIS-RSKS-0402","https://www.we-online.com/catalog/datasheet/560112110057.pdf?ki","560112110057"
